Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional
Tahj Brooks,RB,Texas Tech,College Stats,5-9,214,4.52,35.0,16,120,6.90,4.06,Cincinnati Bengals / 6th / 193rd pick / 2025,BrooTa00
Max Brosmer,QB,Minnesota,College Stats,6-2,217,,,,,,,,BrosMa00
Vernon Broughton,DT,Texas,College Stats,6-5,311,,,,,,,New Orleans Saints / 3rd / 71st pick / 2025,BrouVe00
Logan Brown,OT,Kansas,College Stats,6-6,311,5.18,32.0,,111,7.75,4.51,,BrowLo01
Carson Bruener,LB,Washington,College Stats,6-1,227,4.58,33.5,,119,,,,-9999
Jacobee Bryant,CB,Kansas,College Stats,6-0,180,4.53,,,,,,,BryaCo02
Pat Bryant,WR,Illinois,College Stats,6-2,204,4.61,37.5,,124,,,Denver Broncos / 3rd / 74th pick / 2025,BryaPa00
Teddye Buchanan,LB,California,College Stats,6-2,233,4.60,40.0,26,125,,,Baltimore Ravens / 4th / 129th pick / 2025,BuchTe00
Jordan Burch,EDGE,Oregon,College Stats,6-4,279,4.67,,,,,,Arizona Cardinals / 3rd / 78th pick / 2025,BurcJo00
Denzel Burke,CB,Ohio St.,College Stats,5-11,186,4.48,,,,,,Arizona Cardinals / 5th / 174th pick / 2025,BurkDe01
James Burnip,P,Alabama,College Stats,6-6,235,,,,,,,,BurnJa00
Jamaree Caldwell,DT,Oregon,College Stats,6-2,332,5.16,27.0,,,,,Los Angeles Chargers / 3rd / 86th pick / 2025,CaldJa00
Jihaad Campbell,LB,Alabama,College Stats,6-3,235,4.52,,,127,,,Philadelphia Eagles / 1st / 31st pick / 2025,CampJi00
Will Campbell,OT,LSU,College Stats,6-6,319,4.98,32.0,,113,,,New England Patriots / 1st / 4th pick / 2025,CampWi01
Abdul Carter,EDGE,Penn St.,College Stats,6-3,250,,,,,,,New York Giants / 1st / 3rd pick / 2025,CartAb00
Barrett Carter,LB,Clemson,College Stats,6-0,231,,34.5,,116,,4.41,Cincinnati Bengals / 4th / 119th pick / 2025,CartBa00
Sebastian Castro,SAF,Iowa,College Stats,5-11,203,4.59,30.5,,117,,4.34,,CastSe01
Alijah Clark,SAF,Syracuse,College Stats,6-1,188,4.50,33.0,,122,,,,ClarAl01
Connor Colby,G,Iowa,College Stats,6-6,309,5.11,28.5,,110,7.78,4.63,San Francisco 49ers / 7th / 249th pick / 2025,ColbCo00
Alfred Collins,DT,Texas,College Stats,6-6,332,,26.0,,96,,,San Francisco 49ers / 2nd / 43rd pick / 2025,CollAl01
Beaux Collins,WR,Notre Dame,College Stats,6-3,201,,,,,,,,CollBe00
Joshua Conerly,OT,Oregon,College Stats,6-5,311,5.05,34.5,,103,,,Washington Commanders / 1st / 29th pick / 2025,ConeJo00
Hayden Conner,G,Texas,College Stats,6-6,314,,,,,7.90,4.88,Arizona Cardinals / 6th / 211th pick / 2025,ConnHa00
Jalin Conyers,TE,Texas Tech,College Stats,6-4,260,4.74,35.5,,121,6.94,4.27,,ConyJa00
Brady Cook,QB,Missouri,College Stats,6-2,214,4.59,37.0,,128,7.01,4.17,,CookBr03
Ajani Cornelius,OT,Oregon,College Stats,6-5,310,,,,,,,Dallas Cowboys / 6th / 204th pick / 2025,CornAj00
Eli Cox,C,Kentucky,College Stats,6-4,306,5.02,32.5,,109,7.63,4.58,,CoxxEl00
Kitan Crawford,SAF,Nevada,College Stats,5-11,202,4.41,41.5,18,128,6.81,4.03,,-9999
Jeremy Crawshaw,P,Florida,College Stats,6-4,198,,,,,,,Denver Broncos / 6th / 216th pick / 2025,CrawJe00
Brandon Crenshaw-Dickson,OT,Florida,College Stats,6-7,316,5.33,24.5,,96,8.15,4.91,,CrenBr00
Jaxson Dart,QB,Mississippi,College Stats,6-2,223,,,,,,,New York Giants / 1st / 25th pick / 2025,DartJa00
Garrett Dellinger,G,LSU,College Stats,6-4,325,,,,,,,Baltimore Ravens / 7th / 243rd pick / 2025,DellGa00
Fadil Diggs,EDGE,Syracuse,College Stats,6-4,257,4.57,30.5,,121,,,New Orleans Saints / 7th / 254th pick / 2025,DiggFa00
Chimere Dike,WR,Florida,College Stats,6-1,196,4.34,38.5,,128,6.82,4.27,Tennessee Titans / 4th / 103rd pick / 2025,DikeCh00
CJ Dippre,TE,Alabama,College Stats,6-5,256,4.69,34.5,32,120,,,,DippCJ00
Ra'Mello Dotson,CB,Kansas,College Stats,6-1,192,4.59,34.5,,123,,,,DotsMe00
Ethan Downs,EDGE,Oklahoma,College Stats,6-4,269,4.69,34.0,32,119,7.58,4.59,,DownEt00
Jamon Dumas-Johnson,LB,Kentucky,College Stats,6-1,238,,,,,,,,DumaJa00
Power Echols,LB,North Carolina,College Stats,5-11,237,4.73,37.0,,115,7.60,4.56,,EchoPo00
Donovan Edwards,RB,Michigan,College Stats,5-11,205,4.44,38.5,23,,,,,EdwaDo01
Emeka Egbuka,WR,Ohio St.,College Stats,6-1,202,,,,,,,Tampa Bay Buccaneers / 1st / 19th pick / 2025,EgbuEm01
Nick Emmanwori,SAF,South Carolina,College Stats,6-3,220,4.38,43.0,20,138,,,Seattle Seahawks / 2nd / 35th pick / 2025,EmmaNi00
Aireontae Ersery,OT,Minnesota,College Stats,6-6,331,5.01,29.5,,111,7.81,4.82,Houston Texans / 2nd / 48th pick / 2025,ErseAi00
Trevor Etienne,RB,Georgia,College Stats,5-9,198,4.42,35.0,15,124,,,Carolina Panthers / 4th / 114th pick / 2025,EtieTr01
Mitchell Evans,TE,Notre Dame,College Stats,6-5,258,4.74,31.0,,115,7.25,4.40,Carolina Panthers / 5th / 163rd pick / 2025,EvanMi01
Quinn Ewers,QB,Texas,College Stats,6-2,214,,,,,,,Miami Dolphins / 7th / 231st pick / 2025,EwerQu00
Donovan Ezeiruaku,EDGE,Boston Col.,College Stats,6-3,248,,35.5,22,119,6.94,4.19,Dallas Cowboys / 2nd / 44th pick / 2025,EzeiDo00
Dylan Fairchild,G,Georgia,College Stats,6-5,318,,27.5,,111,,,Cincinnati Bengals / 3rd / 81st pick / 2025,FairDy00
Joshua Farmer,DT,Florida St.,College Stats,6-3,305,5.11,29.0,26,112,,,New England Patriots / 4th / 137th pick / 2025,FarmJo00
Da'Quan Felton,WR,Virginia Tech,College Stats,6-5,213,4.50,32.5,16,122,7.10,4.30,,FeltDa00
Tai Felton,WR,Maryland,College Stats,6-1,183,4.37,39.5,,130,,,Minnesota Vikings / 3rd / 102nd pick / 2025,FeltTa00
Terrance Ferguson,TE,Oregon,College Stats,6-5,247,4.63,39.0,,122,,,Los Angeles Rams / 2nd / 46th pick / 2025,FergTe00
Ryan Fitzgerald,K,Florida St.,College Stats,5-11,193,,,,,,,,FitzRy01
O'Donnell Fortune,CB,South Carolina,College Stats,6-1,185,,32.5,,117,,,,FortOD00
Zah Frazier,CB,Texas-San Antonio,College Stats,6-3,186,4.36,36.5,,126,7.00,4.26,,-9999
Miles Frazier,G,LSU,College Stats,6-6,317,5.24,31.0,,108,,,Detroit Lions / 5th / 171st pick / 2025,FrazMi00
Dillon Gabriel,QB,Oregon,College Stats,5-11,205,,,,,,,Cleveland Browns / 3rd / 94th pick / 2025,GabrDi00
Jacolby George,WR,Miami,College Stats,5-11,172,,32.5,,120,6.77,,,GeorJa00
DJ Giddens,RB,Kansas St.,College Stats,6-0,212,4.43,39.5,,130,,4.33,Indianapolis Colts / 5th / 151st pick / 2025,GiddDJ00
Ashton Gillotte,EDGE,Louisville,College Stats,6-3,264,,36.5,24,120,,,Kansas City Chiefs / 3rd / 66th pick / 2025,GillAs00
Matthew Golden,WR,Texas,College Stats,5-11,191,4.29,,,,,,Green Bay Packers / 1st / 23rd pick / 2025,GoldMa02
Mason Graham,DT,Michigan,College Stats,6-4,296,,,24,,,,Cleveland Browns / 1st / 5th pick / 2025,GrahMa00
Charles Grant,OT,William & Mary,,6-5,311,,,,,,,Las Vegas Raiders / 3rd / 99th pick / 2025,GranCh00
Kenneth Grant,DT,Michigan,College Stats,6-4,331,,,22,,,,Miami Dolphins / 1st / 13th pick / 2025,GranKe01
Joshua Gray,G,Oregon St.,College Stats,6-5,299,5.04,31.0,,104,,,,GrayJo01
Mike Green,EDGE,Marshall,College Stats,6-3,251,,,28,,,,Baltimore Ravens / 2nd / 59th pick / 2025,GreeMi02
Eric Gregory,DT,Arkansas,College Stats,6-3,319,5.14,27.0,28,108,7.68,4.97,,GregEr00
Maxwell Hairston,CB,Kentucky,College Stats,5-11,183,4.28,39.5,,129,,,Buffalo Bills / 1st / 30th pick / 2025,HairMa00
Ty Hamilton,DT,Ohio St.,College Stats,6-3,299,,,,,,,Los Angeles Rams / 5th / 148th pick / 2025,HamiTy00
Omarion Hampton,RB,North Carolina,College Stats,6-0,221,4.46,38.0,18,130,,4.40,Los Angeles Chargers / 1st / 22nd pick / 2025,HampOm00
Jordan Hancock,CB,Ohio St.,College Stats,6-0,195,,,,,,,Buffalo Bills / 5th / 170th pick / 2025,HancJo00
Derrick Harmon,DT,Oregon,College Stats,6-5,313,4.95,,,,,,Pittsburgh Steelers / 1st / 21st pick / 2025,HarmDe01
Marcus Harris,CB,California,College Stats,5-11,189,4.45,,,,,,,-9999
Jermari Harris,CB,Iowa,College Stats,6-1,191,,37.0,,120,,,,HarrJe03
Cleveland Harris,WR,Mississippi,College Stats,6-2,205,4.54,38.5,,125,,,Los Angeles Chargers / 2nd / 55th pick / 2025,HarrTr03
Jared Harrison-Hunte,DT,SMU,College Stats,6-3,290,4.86,32.0,,111,,,,HarrJa06
RJ Harvey,RB,Central Florida,College Stats,5-8,205,4.40,38.0,16,127,,4.34,Denver Broncos / 2nd / 60th pick / 2025,HarvRJ00
Ahmed Hassanein,EDGE,Boise St.,College Stats,6-2,267,4.77,32.5,27,113,,,Detroit Lions / 6th / 196th pick / 2025,HassAh00
Jackson Hawes,TE,Georgia Tech,College Stats,6-5,253,4.82,34.5,16,121,,4.40,Buffalo Bills / 5th / 173rd pick / 2025,HaweJa00
Gunnar Helm,TE,Texas,College Stats,6-5,241,4.84,30.0,,,7.15,4.40,Tennessee Titans / 4th / 120th pick / 2025,HelmGu00
Tonka Hemingway,DT,South Carolina,College Stats,6-3,284,,32.0,,112,7.36,4.48,Las Vegas Raiders / 4th / 135th pick / 2025,HemiTo00
TreVeyon Henderson,RB,Ohio St.,College Stats,5-10,202,4.43,38.5,,128,,,New England Patriots / 2nd / 38th pick / 2025,HendTr02
Seth Henigan,QB,Memphis,College Stats,6-3,215,4.76,31.5,,114,7.34,4.44,,HeniSe00
Jayden Higgins,WR,Iowa St.,College Stats,6-4,214,4.47,39.0,,128,,,Houston Texans / 2nd / 34th pick / 2025,HiggJa00
Jay Higgins,LB,Iowa,College Stats,6-0,224,4.82,33.0,,110,7.01,4.35,,HiggJa01
Tommi Hill,CB,Nebraska,College Stats,6-1,213,,,,,,,,HillTo02
Myles Hinton,OT,Michigan,College Stats,6-7,323,,31.5,,,,4.96,Philadelphia Eagles / 6th / 191st pick / 2025,HintMy00
Traeshon Holden,WR,Oregon,College Stats,6-2,205,4.57,32.0,,123,,,,HoldTr00
Maxen Hook,SAF,Toledo,College Stats,6-1,202,4.55,34.5,,124,,,,HookMa01
Cam Horsley,DT,Boston Col.,College Stats,6-3,312,,31.5,,108,,,,HorsCa00
Tory Horton,WR,Colorado St.,College Stats,6-3,196,4.41,37.5,,,,,Seattle Seahawks / 5th / 166th pick / 2025,HortTo00
Will Howard,QB,Ohio St.,College Stats,6-4,236,,31.5,,112,7.13,4.33,Pittsburgh Steelers / 6th / 185th pick / 2025,HowaWi01
Joe Huber,G,Wisconsin,College Stats,6-5,310,5.20,28.0,,106,7.69,4.78,,HubeJo00
Kobe Hudson,WR,Central Florida,College Stats,6-1,193,4.57,35.0,,122,,,,HudsKo00
Jarquez Hunter,RB,Auburn,College Stats,5-9,204,4.44,33.5,21,120,,,Los Angeles Rams / 4th / 117th pick / 2025,HuntJa03
Travis Hunter,CB/WR,Colorado,College Stats,6-0,188,,,,,,,Jacksonville Jaguars / 1st / 2nd pick / 2025,HuntTr00
Alijah Huzzie,CB,North Carolina,College Stats,5-10,193,,,,,,,,-9999
Thomas Fidone II,TE,Nebraska,College Stats,6-5,243,4.70,35.5,,126,7.01,4.29,,-9999
Oronde Gadsden II,TE,Syracuse,College Stats,6-5,243,,34.0,,114,,,Los Angeles Chargers / 5th / 165th pick / 2025,GadsOr01
Ollie Gordon II,RB,Oklahoma St.,College Stats,6-1,226,4.61,34.5,,120,,,Miami Dolphins / 6th / 179th pick / 2025,GordOl00
Torricelli Simpkins III,C,South Carolina,College Stats,6-5,312,5.45,29.0,,110,,,,-9999
Luther Burden III,WR,Missouri,College Stats,6-0,206,4.41,,,,,,Chicago Bears / 2nd / 39th pick / 2025,BurdLu00
Howard Cross III,DT,Notre Dame,College Stats,6-1,285,,29.0,,104,,,,CrosHo01
Rayuan Lane III,SAF,Navy,College Stats,5-11,200,4.57,37.0,,128,7.10,4.28,Jacksonville Jaguars / 6th / 200th pick / 2025,LaneRa00
Ricky White III,WR,UNLV,College Stats,6-1,184,4.61,36.0,,123,,,Seattle Seahawks / 7th / 238th pick / 2025,WhitRi01
Tyrion Ingram-Dawkins,DT,Georgia,College Stats,6-5,276,4.86,36.0,,124,7.28,4.34,Minnesota Vikings / 5th / 139th pick / 2025,IngrTy00
Ulysses Bentley IV,RB,Mississippi,College Stats,5-10,201,4.62,32.5,,117,,,,BentUl00
Jared Ivey,EDGE,Mississippi,College Stats,6-6,274,,,,,,,,IveyJa00
Cam Jackson,DT,Florida,College Stats,6-6,328,5.17,24.5,,93,,,Carolina Panthers / 5th / 140th pick / 2025,JackCa01
Daniel Jackson,WR,Minnesota,College Stats,5-11,193,,,,,6.78,4.07,,JackDa03
Donovan Jackson,G,Ohio St.,College Stats,6-4,315,,,,,,,Minnesota Vikings / 1st / 24th pick / 2025,JackDo03
Ja'Quinden Jackson,RB,Arkansas,College Stats,6-2,229,,32.0,,119,7.19,4.36,,JackJa05
Landon Jackson,EDGE,Arkansas,College Stats,6-6,264,4.68,40.5,,129,,,Buffalo Bills / 3rd / 72nd pick / 2025,JackLa03
Jordan James,RB,Oregon,College Stats,5-10,205,4.55,,,117,,,San Francisco 49ers / 5th / 147th pick / 2025,JameJo01
Shemar James,LB,Florida,College Stats,6-1,222,4.69,32.0,,117,7.09,4.27,Dallas Cowboys / 5th / 152nd pick / 2025,JameSh00
Ashton Jeanty,RB,Boise St.,College Stats,5-9,211,,,,,,,Las Vegas Raiders / 1st / 6th pick / 2025,JeanAs00
Kaleb Johnson,RB,Iowa,College Stats,6-1,224,4.57,,,,,,Pittsburgh Steelers / 3rd / 83rd pick / 2025,JohnKa03
Tez Johnson,WR,Oregon,College Stats,5-10,154,4.51,37.0,,131,6.65,4.15,Tampa Bay Buccaneers / 7th / 235th pick / 2025,JohnTe03
Will Johnson,CB,Michigan,College Stats,6-2,194,,,,,,,Arizona Cardinals / 2nd / 47th pick / 2025,JohnWi02
Emery Jones,OT,LSU,College Stats,6-5,315,,,,,,,Baltimore Ravens / 3rd / 91st pick / 2025,JoneEm02
Sai'vion Jones,EDGE,LSU,College Stats,6-5,280,,33.0,19,119,,,Denver Broncos / 3rd / 101st pick / 2025,JoneSa01
Jah Joyner,EDGE,Minnesota,College Stats,6-4,262,4.60,30.0,,,7.33,4.68,,JoynJa00
Kelvin Banks Jr.,OT,Texas,College Stats,6-5,315,5.16,32.0,,104,7.81,4.66,New Orleans Saints / 1st / 9th pick / 2025,BankKe01
Billy Bowman Jr.,SAF,Oklahoma,College Stats,5-10,192,4.42,35.5,17,123,,,Atlanta Falcons / 4th / 118th pick / 2025,BowmBi01
Sam Brown Jr.,WR,Miami,College Stats,6-2,200,4.44,41.5,,,,,,BrowSa01
Harold Fannin Jr.,TE,Bowling Green,College Stats,6-3,241,4.71,34.0,22,118,6.97,4.39,Cleveland Browns / 3rd / 67th pick / 2025,FannHa00
Jimmy Horn Jr.,WR,Colorado,College Stats,5-8,174,4.46,38.0,,128,,4.41,Carolina Panthers / 6th / 208th pick / 2025,HornJi00
Montrell Johnson Jr.,RB,Florida,College Stats,5-11,212,4.41,35.5,,123,,4.29,,JohnMo00
Demetrius Knight Jr.,LB,South Carolina,College Stats,6-2,235,4.58,31.5,22,118,7.12,4.25,Cincinnati Bengals / 2nd / 49th pick / 2025,KnigDe00
Jason Marshall Jr.,CB,Florida,College Stats,6-0,194,4.49,37.5,,125,,,Miami Dolphins / 5th / 150th pick / 2025,MarsJa00
Chris Paul Jr.,LB,Mississippi,College Stats,6-1,222,4.63,36.0,,117,,,Los Angeles Rams / 5th / 172nd pick / 2025,PaulCh01
James Pearce Jr.,EDGE,Tennessee,College Stats,6-5,245,4.47,31.0,,123,,,Atlanta Falcons / 1st / 26th pick / 2025,PearJa00
Shavon Revel Jr.,CB,East Carolina,College Stats,6-2,194,,,,,,,Dallas Cowboys / 3rd / 76th pick / 2025,ReveSh00
Dont'e Thornton Jr.,WR,Tennessee,College Stats,6-5,205,4.30,33.0,,126,,,Las Vegas Raiders / 4th / 108th pick / 2025,ThorDo00
Dante Trader Jr.,SAF,Maryland,College Stats,5-11,196,,31.0,12,117,7.09,4.32,Miami Dolphins / 5th / 155th pick / 2025,TradDa00
Antwane Wells Jr.,WR,Mississippi,College Stats,6-1,201,4.58,34.0,,124,,,,WellAn00
Kevin Winston Jr.,SAF,Penn St.,College Stats,6-2,215,,,,,,,Tennessee Titans / 3rd / 82nd pick / 2025,WinsKe02
Quinshon Judkins,RB,Ohio St.,College Stats,6-0,221,4.48,38.5,,132,,,Cleveland Browns / 2nd / 36th pick / 2025,JudkQu00
DeAndre Jules,DT,South Carolina,College Stats,6-4,316,,,,,,,,-9999
Luke Kandra,G,Cincinnati,College Stats,6-5,319,,,,,,,,KandLu00
Josh Kelly,WR,Texas Tech,College Stats,6-1,186,4.70,33.0,,121,7.02,,,-9999
Drew Kendall,C,Boston Col.,College Stats,6-4,308,5.05,,,,7.56,4.51,Philadelphia Eagles / 5th / 168th pick / 2025,KendDr00
Kyle Kennard,EDGE,South Carolina,College Stats,6-4,254,4.73,,23,,,,Los Angeles Chargers / 4th / 125th pick / 2025,KennKy00
Corey Kiner,RB,Cincinnati,College Stats,5-9,209,4.57,,19,,,,,KineCo00
Kobe King,LB,Penn St.,College Stats,6-1,236,,,,,,,Minnesota Vikings / 6th / 201st pick / 2025,KingKo00
Jack Kiser,LB,Notre Dame,College Stats,6-2,231,,,,,,,Jacksonville Jaguars / 4th / 107th pick / 2025,KiseJa00
Bilhal Kone,CB,Western Michigan,College Stats,6-1,190,4.43,31.5,,124,,,Baltimore Ravens / 6th / 178th pick / 2025,KoneBi00
Brant Kuithe,TE,Utah,College Stats,6-2,236,,,,,,,,KuitBr00
Luke Lachey,TE,Iowa,College Stats,6-6,251,,35.0,,120,7.18,4.47,Houston Texans / 7th / 255th pick / 2025,LachLu00
KeAndre Lambert-Smith,WR,Auburn,College Stats,6-1,190,4.37,34.5,,124,,,Los Angeles Chargers / 5th / 158th pick / 2025,LambKe01
Joshua Lane,WR,Virginia Tech,College Stats,5-10,191,4.34,40.0,14,132,6.75,4.12,Washington Commanders / 4th / 128th pick / 2025,LaneJa00
Riley Leonard,QB,Notre Dame,College Stats,6-4,216,,,,,,,Indianapolis Colts / 6th / 189th pick / 2025,LeonRi02
Cody Lindenberg,LB,Minnesota,College Stats,6-2,236,,,,,,,Las Vegas Raiders / 7th / 222nd pick / 2025,LindCo00
Steve Linton,EDGE,Baylor,College Stats,6-4,242,,32.5,21,124,7.25,,,LintSt00
Robert Longerbeam,CB,Rutgers,College Stats,5-11,175,4.39,36.5,,134,,,,-9999
Tyler Loop,K,Arizona,College Stats,5-11,191,,,,,,,,-9999
Colston Loveland,TE,Michigan,College Stats,6-6,248,,,,,,,Chicago Bears / 1st / 10th pick / 2025,LoveCo00
Dominic Lovett,WR,Georgia,College Stats,5-10,185,4.40,33.5,,120,,4.27,Detroit Lions / 7th / 244th pick / 2025,LoveDo00
Chase Lundt,OT,Connecticut,College Stats,6-8,304,,,,,,,Buffalo Bills / 6th / 206th pick / 2025,LundCh00
Phil Mafah,RB,Clemson,College Stats,6-1,234,,,,,,,Dallas Cowboys / 7th / 239th pick / 2025,MafaPh00
Jake Majors,C,Texas,College Stats,6-3,306,,,,,,,,MajoJa00
Woody Marks,RB,USC,College Stats,5-10,207,4.54,35.0,18,119,,4.24,,-9999
Nickolas Martin,LB,Oklahoma St.,College Stats,6-0,221,4.53,38.0,26,123,,,San Francisco 49ers / 3rd / 75th pick / 2025,MartNi01
Sean Martin,EDGE,West Virginia,College Stats,6-6,293,4.88,28.5,28,112,7.38,,,MartSe00
Bam Martin-Scott,LB,South Carolina,College Stats,6-2,231,4.63,33.5,,122,7.26,4.53,,-9999
Damien Martinez,RB,Miami,College Stats,6-0,217,4.51,35.0,,124,,,Seattle Seahawks / 7th / 223rd pick / 2025,MartDa02
Moliki Matavao,TE,UCLA,College Stats,6-6,260,4.81,32.5,,114,,,New Orleans Saints / 7th / 248th pick / 2025,MataMo00
Francisco Mauigoa,LB,Miami,College Stats,6-2,233,4.60,35.0,,121,7.15,4.24,New York Jets / 5th / 162nd pick / 2025,MauiFr00
Marcus Mbow,G,Purdue,College Stats,6-4,303,,,,,,4.67,New York Giants / 5th / 154th pick / 2025,MbowMa00
Kyle McCord,QB,Syracuse,College Stats,6-3,218,,,,,,,Philadelphia Eagles / 6th / 181st pick / 2025,McCoKy00
Bru McCoy,WR,Tennessee,College Stats,6-3,209,,,,,,,,McCoBr00
Seth McLaughlin,C,Ohio St.,College Stats,6-4,304,,,,,,,,McLaSe00
Jalen McLeod,LB,Auburn,College Stats,6-2,241,,,,,,,,-9999
Tetairoa McMillan,WR,Arizona,College Stats,6-4,219,,,,,,,Carolina Panthers / 1st / 8th pick / 2025,McMiTe00
Decarrion McWilliams,CB,Central Florida,College Stats,5-10,191,4.41,34.0,,,,,Philadelphia Eagles / 5th / 145th pick / 2025,McWiMa01
Kain Medrano,LB,UCLA,College Stats,6-3,222,4.46,38.0,,125,,,,-9999
Armand Membou,OT,Missouri,College Stats,6-4,332,4.91,34.0,,115,,,New York Jets / 1st / 7th pick / 2025,MembAr00
Graham Mertz,QB,Florida,College Stats,6-3,212,,,,,,,Houston Texans / 6th / 197th pick / 2025,MertGr00
R.J. Mickens,SAF,Clemson,College Stats,6-0,199,4.49,41.5,,121,,,Los Angeles Chargers / 6th / 214th pick / 2025,MickRJ00
Rylie Mills,DT,Notre Dame,College Stats,6-5,291,,,,,,,,-9999
Jalen Milroe,QB,Alabama,College Stats,6-2,217,,,,,,,Seattle Seahawks / 3rd / 92nd pick / 2025,MilrJa00
Wyatt Milum,OT,West Virginia,College Stats,6-7,313,5.27,30.0,,108,,4.69,Jacksonville Jaguars / 3rd / 89th pick / 2025,MiluWy00
Kyle Monangai,RB,Rutgers,College Stats,5-8,211,4.60,34.5,,117,,,Chicago Bears / 7th / 233rd pick / 2025,MonaKy00
Smael Mondon,LB,Georgia,College Stats,6-2,224,4.58,,,130,,,Philadelphia Eagles / 5th / 161st pick / 2025,MondSm01
Jonah Monheim,C,USC,College Stats,6-4,302,,,,,,,Jacksonville Jaguars / 7th / 221st pick / 2025,MonhJo00
Malachi Moore,SAF,Alabama,College Stats,5-11,196,,,,,,,New York Jets / 4th / 130th pick / 2025,MoorMa04
Benjamin Morrison,CB,Notre Dame,College Stats,6-0,193,,,,,,,Tampa Bay Buccaneers / 2nd / 53rd pick / 2025,MorrBe00
Jabbar Muhammad,CB,Oregon,College Stats,5-9,182,,29.5,13,,7.01,4.19,,MuhaJa00
Andrew Mukuba,SAF,Texas,College Stats,5-11,186,4.45,,,,,,Philadelphia Eagles / 2nd / 64th pick / 2025,MukuAn00
Kalel Mullings,RB,Michigan,College Stats,6-2,226,,,,,,,Tennessee Titans / 6th / 188th pick / 2025,MullKa00
Konata Mumpfield,WR,Pittsburgh,College Stats,5-11,186,4.59,36.0,,124,,,Los Angeles Rams / 7th / 242nd pick / 2025,MumpKo00
Nick Nash,WR,San Jose St.,College Stats,6-3,203,4.57,34.0,,123,,,,NashNi00
